,text,sentence,word,wordFreq,zipfFreq,surpGPT,word_length,wordId
4411,text_12_L1,3,Mission,3.63e-05,4.56,6.980625152587891,7,38
4412,text_12_L1,3,ist,0.012,7.08,1.160845398902893,3,39
4413,text_12_L1,3,"es,",0.00871,6.94,0.8089162111282349,3,40
4414,text_12_L1,3,"""Gesellschaften",1.26e-05,4.1,17.51462745666504,15,41
4415,text_12_L1,3,weltweit,6.03e-05,4.78,6.749889373779297,8,42
4416,text_12_L1,3,zu,0.0102,7.01,5.953448295593262,2,43
4417,text_12_L1,3,ermutigen,2.14e-06,3.33,4.811290264129639,9,44
4418,text_12_L1,3,und,0.0263,7.42,5.897434234619141,3,45
4419,text_12_L1,3,dabei,0.000631,5.8,1.1869062185287476,5,46
4420,text_12_L1,3,zu,0.0102,7.01,3.917118549346924,2,47
4421,text_12_L1,3,"unterstützen,",5.75e-05,4.76,1.1569401025772095,13,48
4422,text_12_L1,3,die,0.0302,7.48,4.2361345291137695,3,49
4423,text_12_L1,3,Natur,8.71e-05,4.94,0.3795558214187622,5,50
4424,text_12_L1,3,zu,0.0102,7.01,1.1067354679107666,2,51
4425,text_12_L1,3,"erhalten,",0.000204,5.31,4.112993240356445,9,52
4426,text_12_L1,3,und,0.0263,7.42,2.227177381515503,3,53
4427,text_12_L1,3,"sicherzustellen,",5.5e-06,3.74,5.6738362312316895,16,54
4428,text_12_L1,3,dass,0.0049,6.69,1.2772189378738403,4,55
4429,text_12_L1,3,die,0.0302,7.48,2.5371313095092773,3,56
4430,text_12_L1,3,Nutzung,3.89e-05,4.59,1.575861930847168,7,57
4431,text_12_L1,3,natürlicher,5.37e-06,3.73,3.3940513134002686,11,58
4432,text_12_L1,3,Ressourcen,1.74e-05,4.24,5.667352676391602,10,59
4433,text_12_L1,3,gerecht,2.34e-05,4.37,0.006483472418040037,7,60
4434,text_12_L1,3,und,0.0263,7.42,0.016234932467341423,3,61
4435,text_12_L1,3,ökologisch,4.17e-06,3.62,1.5886354446411133,10,62
4436,text_12_L1,3,nachhaltig,1.29e-05,4.11,5.440205097198486,10,63
4437,text_12_L1,3,"ist"".",0.012,7.08,1.784332513809204,5,64
4438,text_12_L1,4,In,0.0174,7.24,3.8858695030212402,2,65
4439,text_12_L1,4,den,0.01,7.0,2.4212632179260254,3,66
4440,text_12_L1,4,letzten,0.000331,5.52,1.5504270792007446,7,67
4441,text_12_L1,4,Jahrzehnten,2.75e-05,4.44,3.616687059402466,11,68
4442,text_12_L1,4,hat,0.00398,6.6,1.2307085990905762,3,69
